y_predict,y_groundtruth
25.8,27.5
22.9,21.6
19.3,17.7
22.2,24.3
23.1,22.2
46.5,48.8
20.5,18.6
12.7,10.2
10.2,11.3
22.5,25.3
15.2,14.5
26.4,28.6
13.2,14.9
36.6,34.6
22.3,22.6
12.7,10.9
14.9,13.6
24.1,22
21.9,20.3
21.9,21.7
25.8,24.3
39.5,38.7
25.8,27
16.4,16.7
21.5,22
13,14.9
11.4,10.8
23.2,22.2
25.6,23.6
23.1,23
22.4,21.5
14.9,13.8
48.4,50
48.6,43.8
21.2,22.4
25,28.2
28,30.1
22.4,20.4
23.1,24.6
48.5,50
47.9,46
18.6,16.5
20.5,18.8
21.5,23.3
9,8.8
12.3,13.5
22,22.5
34.5,33.2
23.1,23.8
21.8,21.7
23.9,29.4
23.5,21.6
20.8,16.2
22.4,22.7
22.8,18.5
21.9,18.9
26.2,31.6
24.6,27.5
22.2,22.2
23.4,12.5
12.7,11.7
21.6,18.8
21.7,20.6
22.4,20.8
22.3,24.3
15.4,18.6
14.6,15.6
21.5,17.4
30.5,29.8
21.7,23.1
32.2,30.1
10.1,11.9
21.1,19.8
21.1,20
21.1,20.3
20.8,17.1
19.7,11.5
18.9,17.8
14.3,13.9
24.4,21
20.8,21.8
22.6,21.2
21.8,24.7
11.8,12.7
21.7,18.3
21.4,21.1
23.3,23
22.4,23.9
23.7,22.9
20.4,19.5
15.5,13.9
29.6,30.5
47.3,50
7.3,9.5
20.7,18.4
18.3,17.2
19.7,19.6
36.4,36.1
15.9,14.2
21.2,18.3
